parameter_no,no1,no2,no3,no4,no5
000,1,3,6,4,2
001,1,2,5,-,-
002,2,5,-,-,-
003,2,-,-,-,-
004,1,2,5,-,-
005,2,5,-,-,-
006,5,-,-,-,-
007,2,5,-,-,-
008,2,5,-,-,-
009,2,5,-,-,-
010,2,5,-,-,-
011,1,2,5,-,-
012,1,2,5,-,-
013,1,3,6,4,2
014,1,4,2,5,-
015,2,5,-,-,-
016,2,5,-,-,-
017,2,5,-,-,-
018,2,5,-,-,-
019,5,-,-,-,-
020,2,5,-,-,-
021,2,5,-,-,-
022,2,5,-,-,-
023,1,4,2,5,-
024,2,5,-,-,-
025,2,-,-,-,-
026,1,2,5,-,-
027,1,2,5,-,-
028,1,2,5,-,-
029,2,5,-,-,-
030,2,5,-,-,-
031,-,-,-,-,-
032,-,-,-,-,-
033,2,5,-,-,-
034,1,2,5,-,-
035,2,5,-,-,-
036,2,-,-,-,-
037,2,5,-,-,-
038,2,5,-,-,-
039,2,5,-,-,-
040,1,2,5,-,-
041,-,-,-,-,-
042,2,5,-,-,-
043,2,5,-,-,-
044,2,5,-,-,-
045,2,5,-,-,-
046,2,5,-,-,-
047,2,5,-,-,-
048,1,4,2,5,-
049,1,2,5,-,-
050,5,-,-,-,-
051,1,2,5,-,-
052,5,-,-,-,-
053,1,3,2,5,-
054,5,-,-,-,-
055,5,-,-,-,-
056,1,6,2,5,-
057,1,3,2,5,-
058,1,2,5,-,-
059,5,-,-,-,-
060,2,5,-,-,-
061,4,2,5,-,-
062,1,3,2,5,-
063,-,-,-,-,-
064,1,2,5,-,-
065,6,-,-,-,-
066,5,-,-,-,-
067,1,3,2,5,-
068,-,-,-,-,-
069,1,2,5,-,-
070,-,-,-,-,-
071,-,-,-,-,-
072,-,-,-,-,-
073,-,-,-,-,-
074,-,-,-,-,-
075,1,2,5,-,-
076,-,-,-,-,-
077,1,2,5,-,-
078,1,2,5,-,-
079,1,-,-,-,-
080,-,-,-,-,-
081,1,4,2,5,-
082,-,-,-,-,-
083,-,-,-,-,-
084,1,4,2,5,-
085,-,-,-,-,-
086,1,2,5,-,-
087,1,2,5,-,-
088,-,-,-,-,-
089,-,-,-,-,-
090,1,2,5,-,-
091,-,-,-,-,-
092,1,2,5,-,-
093,1,2,5,-,-
094,-,-,-,-,-
095,-,-,-,-,-
096,-,-,-,-,-
097,1,2,5,-,-
098,-,-,-,-,-
099,1,2,5,-,-
100,-,-,-,-,-
101,1,4,2,5,-
102,-,-,-,-,-
103,-,-,-,-,-
104,-,-,-,-,-
105,-,-,-,-,-
106,1,2,5,-,-
107,1,2,5,-,-
108,-,-,-,-,-
109,-,-,-,-,-
110,-,-,-,-,-
111,1,2,5,-,-
112,-,-,-,-,-
113,-,-,-,-,-
114,-,-,-,-,-
115,-,-,-,-,-
116,-,-,-,-,-
117,-,-,-,-,-
118,-,-,-,-,-
119,-,-,-,-,-
120,-,-,-,-,-
121,-,-,-,-,-
122,-,-,-,-,-
123,-,-,-,-,-
124,-,-,-,-,-
125,-,-,-,-,-
126,-,-,-,-,-
127,-,-,-,-,-
128,-,-,-,-,-
129,-,-,-,-,-
130,-,-,-,-,-
131,-,-,-,-,-
132,-,-,-,-,-
133,-,-,-,-,-
134,-,-,-,-,-
135,-,-,-,-,-
136,1,2,5,-,-
137,-,-,-,-,-
138,-,-,-,-,-
139,-,-,-,-,-
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,3,6,4,2,5
201,2,5,-,-,-
202,2,5,-,-,-
203,2,-,-,-,-
204,2,5,-,-,-
205,2,5,-,-,-
206,5,-,-,-,-
207,2,5,-,-,-
208,2,5,-,-,-
209,2,5,-,-,-
210,2,5,-,-,-
211,2,5,-,-,-
212,2,5,-,-,-
213,3,6,4,2,5
214,4,2,5,-,-
215,2,5,-,-,-
216,2,5,-,-,-
217,2,5,-,-,-
218,2,5,-,-,-
219,5,-,-,-,-
220,2,5,-,-,-
221,2,5,-,-,-
222,2,5,-,-,-
223,4,2,5,-,-
224,2,5,-,-,-
225,2,-,-,-,-
226,2,5,-,-,-
227,2,5,-,-,-
228,2,5,-,-,-
229,2,5,-,-,-
230,2,5,-,-,-
231,-,-,-,-,-
232,-,-,-,-,-
233,2,5,-,-,-
234,2,5,-,-,-
235,2,5,-,-,-
236,2,-,-,-,-
237,2,5,-,-,-
238,2,5,-,-,-
239,2,5,-,-,-
240,2,5,-,-,-
241,-,-,-,-,-
242,2,5,-,-,-
243,2,5,-,-,-
244,2,5,-,-,-
245,2,5,-,-,-
246,2,5,-,-,-
247,2,5,-,-,-
248,4,2,5,-,-
249,2,5,-,-,-
250,5,-,-,-,-
251,2,5,-,-,-
252,5,-,-,-,-
253,3,2,5,-,-
254,5,-,-,-,-
255,5,-,-,-,-
256,6,2,5,-,-
257,3,2,5,-,-
258,2,5,-,-,-
259,5,-,-,-,-
260,2,5,-,-,-
261,4,2,5,-,-
262,3,2,5,-,-
263,-,-,-,-,-
264,2,5,-,-,-
265,6,-,-,-,-
266,5,-,-,-,-
267,3,2,5,-,-
268,-,-,-,-,-
269,2,5,-,-,-
270,-,-,-,-,-
271,-,-,-,-,-
272,-,-,-,-,-
273,-,-,-,-,-
274,-,-,-,-,-
275,2,5,-,-,-
276,-,-,-,-,-
277,2,5,-,-,-
278,2,5,-,-,-
279,-,-,-,-,-
280,-,-,-,-,-
281,4,2,5,-,-
282,-,-,-,-,-
283,-,-,-,-,-
284,4,2,5,-,-
285,-,-,-,-,-
286,2,5,-,-,-
287,2,5,-,-,-
288,-,-,-,-,-
289,-,-,-,-,-
290,2,5,-,-,-
291,-,-,-,-,-
292,2,5,-,-,-
293,2,5,-,-,-
294,-,-,-,-,-
295,-,-,-,-,-
296,-,-,-,-,-
297,2,5,-,-,-
298,-,-,-,-,-
299,2,5,-,-,-
300,-,-,-,-,-
301,4,2,5,-,-
302,-,-,-,-,-
303,-,-,-,-,-
304,-,-,-,-,-
305,-,-,-,-,-
306,2,5,-,-,-
307,2,5,-,-,-
308,-,-,-,-,-
309,-,-,-,-,-
310,-,-,-,-,-
311,2,5,-,-,-
312,-,-,-,-,-
313,-,-,-,-,-
314,-,-,-,-,-
315,-,-,-,-,-
316,-,-,-,-,-
317,-,-,-,-,-
318,-,-,-,-,-
319,-,-,-,-,-
320,-,-,-,-,-
321,-,-,-,-,-
322,-,-,-,-,-
323,-,-,-,-,-
324,-,-,-,-,-
325,-,-,-,-,-
326,-,-,-,-,-
327,-,-,-,-,-
328,-,-,-,-,-
329,-,-,-,-,-
330,-,-,-,-,-
331,-,-,-,-,-
332,-,-,-,-,-
333,-,-,-,-,-
334,-,-,-,-,-
335,-,-,-,-,-
336,2,5,-,-,-
337,-,-,-,-,-
338,-,-,-,-,-
339,-,-,-,-,-
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,