parameter_no,dio_stores,TCB_stores,urara_stores,dsc_stores,lieto_stores,eminal_stores
000,dio_001/dio_002/dio_003/dio_004/dio_006/dio_008/dio_009/dio_010/dio_011/dio_012/dio_013/dio_014/dio_015/dio_016/dio_017/dio_018/dio_019/dio_020/dio_021/dio_022,TCB_001/TCB_002/TCB_003/TCB_004/TCB_005/TCB_006/TCB_007/TCB_008/TCB_009/TCB_010/TCB_011/TCB_012/TCB_013/TCB_014/TCB_015/TCB_016/TCB_017/TCB_018/TCB_019/TCB_020/TCB_021/TCB_022/TCB_023/TCB_024/TCB_025/TCB_026/TCB_027/TCB_028/TCB_029/TCB_030/TCB_031/TCB_032/TCB_033/TCB_034/TCB_035/TCB_036/TCB_037/TCB_038/TCB_039/TCB_040/TCB_041/TCB_042/TCB_043/TCB_044/TCB_045/TCB_046/TCB_047/TCB_048/TCB_049/TCB_050/TCB_051/TCB_052/TCB_053/TCB_054/TCB_055/TCB_056/TCB_057/TCB_058/TCB_059/TCB_060/TCB_061/TCB_062/TCB_063/TCB_064/TCB_065/TCB_066/TCB_067/TCB_068/TCB_069/TCB_070/TCB_071/TCB_072/TCB_073/TCB_074/TCB_075/TCB_076/TCB_077/TCB_078/TCB_079/TCB_080/TCB_081/TCB_082/TCB_083/TCB_084/TCB_085/TCB_086/TCB_087/TCB_088/TCB_089/TCB_090/TCB_091/TCB_092/TCB_093/TCB_094/TCB_095/TCB_096/TCB_097/TCB_098/TCB_099/TCB_100/TCB_101/TCB_102/TCB_103/TCB_104/TCB_105,urara_001/urara_002,dsc_001,lieto_001/lieto_002/lieto_003,eminal_001/eminal_002/eminal_003/eminal_004/eminal_005/eminal_006/eminal_007/eminal_008/eminal_009/eminal_010/eminal_011/eminal_012/eminal_013/eminal_014/eminal_015/eminal_016/eminal_017/eminal_018/eminal_019/eminal_020/eminal_021/eminal_022/eminal_023/eminal_024/eminal_025/eminal_026/eminal_027/eminal_028/eminal_029/eminal_030/eminal_031/eminal_032/eminal_033/eminal_034/eminal_035/eminal_036/eminal_037/eminal_038/eminal_039/eminal_040/eminal_041/eminal_042/eminal_043/eminal_044/eminal_045/eminal_046/eminal_047/eminal_048/eminal_049/eminal_050/eminal_051/eminal_052/eminal_053/eminal_054/eminal_055/eminal_056/eminal_057/eminal_058/eminal_059/eminal_060/eminal_061/eminal_062/eminal_063
001,dio_022,TCB_040/TCB_041/TCB_042,-,-,-,eminal_062/eminal_063
002,-,TCB_046,-,-,-,eminal_061
003,-,TCB_047,-,-,-,eminal_060
004,dio_021,TCB_043,-,-,-,eminal_059
005,-,TCB_049,-,-,-,eminal_058
006,-,TCB_048,-,-,-,-
007,-,TCB_044/TCB_045,-,-,-,eminal_057
008,-,TCB_031/TCB_032,-,-,-,eminal_056
009,-,TCB_030,-,-,-,eminal_055
010,-,TCB_038/TCB_039,-,-,-,eminal_054
011,dio_014,TCB_025/TCB_026/TCB_027/TCB_028/TCB_029,-,-,-,eminal_053
012,dio_011,TCB_033/TCB_034/TCB_035/TCB_036/TCB_037,-,-,-,eminal_051/eminal_052
013,dio_015/dio_016/dio_017/dio_018/dio_019/dio_020,TCB_001/TCB_002/TCB_003/TCB_004/TCB_005/TCB_006/TCB_007/TCB_008/TCB_009/TCB_010/TCB_011/TCB_012/TCB_013/TCB_014/TCB_015/TCB_016/TCB_017/TCB_018,urara_001/urara_002,dsc_001,lieto_003,eminal_041/eminal_042/eminal_043/eminal_045/eminal_046/eminal_047/eminal_048/eminal_049/eminal_050
014,dio_012/dio_013,TCB_019/TCB_020/TCB_021/TCB_022/TCB_023/TCB_024,-,-,lieto_002,eminal_039/eminal_040
015,-,TCB_062,-,-,-,eminal_038
016,-,TCB_064,-,-,-,eminal_037
017,-,TCB_061,-,-,-,eminal_036
018,-,TCB_065,-,-,-,eminal_035
019,-,TCB_066,-,-,-,-
020,-,TCB_059/TCB_060,-,-,-,eminal_034
021,-,TCB_055,-,-,-,eminal_033
022,-,TCB_056/TCB_057/TCB_058,-,-,-,eminal_031/eminal_032
023,dio_009/dio_010,TCB_050/TCB_051/TCB_052/TCB_053/TCB_054,-,-,lieto_001,eminal_029/eminal_030
024,-,TCB_063,-,-,-,eminal_028
025,-,TCB_083,-,-,-,eminal_027
026,dio_008,TCB_077/TCB_078,-,-,-,eminal_026
027,dio_003/dio_004,TCB_067/TCB_068/TCB_069/TCB_070/TCB_071/TCB_072/TCB_073/TCB_074/TCB_075/TCB_076,-,-,-,eminal_023/eminal_024/eminal_025
028,dio_006,TCB_079/TCB_080,-,-,-,eminal_021/eminal_022
029,-,TCB_081,-,-,-,eminal_020
030,-,TCB_082,-,-,-,eminal_019
031,-,-,-,-,-,-
032,-,TCB_088,-,-,-,-
033,-,TCB_084/TCB_085,-,-,-,eminal_018
034,dio_002,TCB_086/TCB_087,-,-,-,eminal_017
035,-,TCB_089,-,-,-,eminal_016
036,-,TCB_093,-,-,-,eminal_015
037,-,TCB_090,-,-,-,eminal_014
038,-,TCB_091,-,-,-,eminal_013
039,-,TCB_092,-,-,-,eminal_012
040,dio_001,TCB_094/TCB_095/TCB_096/TCB_097/TCB_098,-,-,-,eminal_008/eminal_009/eminal_010/eminal_011
041,-,TCB_103,-,-,-,-
042,-,TCB_102,-,-,-,eminal_006/eminal_007
043,-,TCB_100,-,-,-,eminal_004
044,-,TCB_104,-,-,-,eminal_005
045,-,TCB_101,-,-,-,eminal_003
046,-,TCB_099,-,-,-,eminal_002
047,-,TCB_105,-,-,-,eminal_001
048,dio_017,TCB_005,-,-,lieto_003,eminal_044/eminal_045
049,dio_018,TCB_008/TCB_013,-,-,-,eminal_043
050,-,-,-,-,-,-
051,dio_015,TCB_009,-,-,-,eminal_047/eminal_048
052,-,-,-,-,-,-
053,dio_020,TCB_006/TCB_007,urara_001,-,-,eminal_046
054,-,TCB_017,-,-,-,-
055,-,TCB_016,-,-,-,-
056,dio_015,TCB_009/TCB_010,-,dsc_001,-,eminal_047/eminal_048
057,dio_016,TCB_001/TCB_002/TCB_003,urara_002,-,-,eminal_049/eminal_050
058,dio_019,TCB_014,-,-,-,eminal_042
059,-,-,-,-,-,-
060,-,TCB_012,-,-,-,eminal_041
061,-,TCB_002/TCB_004,-,-,lieto_003,eminal_044/eminal_045
062,dio_020,TCB_006/TCB_007,urara_001,-,-,eminal_046
063,-,-,-,-,-,-
064,dio_018,TCB_008/TCB_013,-,-,-,eminal_043
065,-,-,-,dsc_001,-,eminal_047/eminal_048
066,-,-,-,-,-,-
067,dio_020,TCB_006/TCB_007,urara_001,-,-,eminal_046
068,-,-,-,-,-,-
069,dio_018,TCB_008/TCB_013,-,-,-,eminal_043
070,-,-,-,-,-,-
071,-,-,-,-,-,-
072,-,-,-,-,-,-
073,-,-,-,-,-,-
074,-,-,-,-,-,-
075,dio_003,TCB_068/TCB_072,-,-,-,eminal_024
076,-,TCB_075,-,-,-,-
077,dio_003,TCB_068/TCB_069/TCB_072,-,-,-,eminal_023/eminal_024
078,dio_003,TCB_068/TCB_072,-,-,-,eminal_024
079,dio_004,TCB_067/TCB_070/TCB_071,-,-,-,eminal_025
080,-,-,-,-,-,-
081,dio_009/dio_010,TCB_050,-,-,lieto_001,eminal_030
082,-,TCB_053,-,-,-,-
083,-,TCB_054,-,-,-,eminal_029
084,dio_009/dio_010,TCB_050/TCB_052,-,-,lieto_001,eminal_030
085,-,TCB_097,-,-,-,eminal_008
086,dio_001,TCB_094/TCB_096/TCB_098,-,-,-,eminal_010/eminal_011
087,dio_001,TCB_094/TCB_096/TCB_098,-,-,-,eminal_010/eminal_011
088,-,TCB_095,-,-,-,eminal_009
089,-,TCB_042,-,-,-,eminal_062
090,dio_022,TCB_040/TCB_041,-,-,-,eminal_063
091,-,-,-,-,-,-
092,dio_006,TCB_079,-,-,-,eminal_022
093,dio_006,TCB_079,-,-,-,eminal_022
094,-,-,-,-,-,-
095,-,TCB_080,-,-,-,eminal_021
096,-,TCB_024,-,-,-,-
097,dio_012,TCB_022,-,-,-,eminal_039
098,-,TCB_023,-,-,-,-
099,dio_015,TCB_010/TCB_018/TCB_022,-,-,-,eminal_048
100,-,TCB_018/TCB_022,-,-,-,-
101,dio_013,TCB_019/TCB_020,-,-,lieto_002,eminal_040
102,-,TCB_023,-,-,-,-
103,-,TCB_035/TCB_037,-,-,-,-
104,-,TCB_036,-,-,-,eminal_051
105,-,TCB_037,-,-,-,-
106,dio_014,TCB_025/TCB_026,-,-,-,eminal_053
107,dio_014,TCB_025/TCB_026,-,-,-,eminal_053
108,-,TCB_027,-,-,-,-
109,-,TCB_017/TCB_027/TCB_029/TCB_037,-,-,-,-
110,-,TCB_038/TCB_039,-,-,-,eminal_054
111,dio_008,TCB_077/TCB_078,-,-,-,eminal_026
112,-,TCB_091,-,-,-,eminal_013
113,-,-,-,-,-,-
114,-,TCB_061,-,-,-,eminal_036
115,-,TCB_032,-,-,-,-
116,-,TCB_031,-,-,-,eminal_056
117,-,TCB_047,-,-,-,eminal_060
118,-,-,-,-,-,-
119,-,TCB_085,-,-,-,-
120,-,TCB_090,-,-,-,eminal_014
121,-,-,-,-,-,-
122,-,TCB_058,-,-,-,-
123,-,TCB_057,-,-,-,eminal_031
124,-,TCB_058,-,-,-,-
125,-,TCB_088,-,-,-,-
126,-,TCB_030,-,-,-,eminal_055
127,-,-,-,-,-,-
128,-,-,-,-,-,eminal_006
129,-,TCB_060,-,-,-,-
130,-,-,-,-,-,-
131,-,-,-,-,-,-
132,-,TCB_045,-,-,-,eminal_057
133,-,TCB_063,-,-,-,eminal_028
134,-,-,-,-,-,-
135,-,TCB_063,-,-,-,eminal_028
136,dio_021,TCB_043,-,-,-,eminal_059
137,-,-,-,-,-,-
138,-,-,-,-,-,-
139,-,-,-,-,-,-
140,-,-,-,-,-,-
141,-,-,-,-,-,-
142,-,-,-,-,-,-
143,-,-,-,-,-,-
144,-,-,-,-,-,-
145,-,-,-,-,-,-
146,-,-,-,-,-,-
147,-,-,-,-,-,-
148,-,-,-,-,-,-
149,-,-,-,-,-,-
150,-,-,-,-,-,-
151,-,-,-,-,-,-
152,-,-,-,-,-,-
153,-,-,-,-,-,-
154,-,-,-,-,-,-
155,-,-,-,-,-,-
156,-,-,-,-,-,-
157,-,-,-,-,-,-
158,-,-,-,-,-,-
159,-,-,-,-,-,-
160,-,-,-,-,-,-
161,-,-,-,-,-,-
162,-,-,-,-,-,-
163,-,-,-,-,-,-
164,-,-,-,-,-,-
165,-,-,-,-,-,-
166,-,-,-,-,-,-
167,-,-,-,-,-,-
168,-,-,-,-,-,-
169,-,-,-,-,-,-
170,-,-,-,-,-,-
171,-,-,-,-,-,-
172,-,-,-,-,-,-
173,-,-,-,-,-,-
174,-,-,-,-,-,-
175,-,-,-,-,-,-
176,-,-,-,-,-,-
177,-,-,-,-,-,-
178,-,-,-,-,-,-
179,-,-,-,-,-,-
180,-,-,-,-,-,-
181,-,-,-,-,-,-
182,-,-,-,-,-,-
183,-,-,-,-,-,-
184,-,-,-,-,-,-
185,-,-,-,-,-,-
186,-,-,-,-,-,-
187,-,-,-,-,-,-
188,-,-,-,-,-,-
189,-,-,-,-,-,-
190,-,-,-,-,-,-
191,-,-,-,-,-,-
192,-,-,-,-,-,-
193,-,-,-,-,-,-
194,-,-,-,-,-,-
195,-,-,-,-,-,-
196,-,-,-,-,-,-
197,-,-,-,-,-,-
198,-,-,-,-,-,-
199,-,-,-,-,-,-
200,-,TCB_001/TCB_002/TCB_003/TCB_004/TCB_005/TCB_006/TCB_007/TCB_008/TCB_009/TCB_010/TCB_011/TCB_012/TCB_013/TCB_014/TCB_015/TCB_016/TCB_017/TCB_018/TCB_019/TCB_020/TCB_021/TCB_022/TCB_023/TCB_024/TCB_025/TCB_026/TCB_027/TCB_028/TCB_029/TCB_030/TCB_031/TCB_032/TCB_033/TCB_034/TCB_035/TCB_036/TCB_037/TCB_038/TCB_039/TCB_040/TCB_041/TCB_042/TCB_043/TCB_044/TCB_045/TCB_046/TCB_047/TCB_048/TCB_049/TCB_050/TCB_051/TCB_052/TCB_053/TCB_054/TCB_055/TCB_056/TCB_057/TCB_058/TCB_059/TCB_060/TCB_061/TCB_062/TCB_063/TCB_064/TCB_065/TCB_066/TCB_067/TCB_068/TCB_069/TCB_070/TCB_071/TCB_072/TCB_073/TCB_074/TCB_075/TCB_076/TCB_077/TCB_078/TCB_079/TCB_080/TCB_081/TCB_082/TCB_083/TCB_084/TCB_085/TCB_086/TCB_087/TCB_088/TCB_089/TCB_090/TCB_091/TCB_092/TCB_093/TCB_094/TCB_095/TCB_096/TCB_097/TCB_098/TCB_099/TCB_100/TCB_101/TCB_102/TCB_103/TCB_104/TCB_105,urara_001/urara_002,dsc_001,lieto_001/lieto_002/lieto_003,eminal_001/eminal_002/eminal_003/eminal_004/eminal_005/eminal_006/eminal_007/eminal_008/eminal_009/eminal_010/eminal_011/eminal_012/eminal_013/eminal_014/eminal_015/eminal_016/eminal_017/eminal_018/eminal_019/eminal_020/eminal_021/eminal_022/eminal_023/eminal_024/eminal_025/eminal_026/eminal_027/eminal_028/eminal_029/eminal_030/eminal_031/eminal_032/eminal_033/eminal_034/eminal_035/eminal_036/eminal_037/eminal_038/eminal_039/eminal_040/eminal_041/eminal_042/eminal_043/eminal_044/eminal_045/eminal_046/eminal_047/eminal_048/eminal_049/eminal_050/eminal_051/eminal_052/eminal_053/eminal_054/eminal_055/eminal_056/eminal_057/eminal_058/eminal_059/eminal_060/eminal_061/eminal_062/eminal_063
201,-,TCB_040/TCB_041/TCB_042,-,-,-,eminal_062/eminal_063
202,-,TCB_046,-,-,-,eminal_061
203,-,TCB_047,-,-,-,eminal_060
204,-,TCB_043,-,-,-,eminal_059
205,-,TCB_049,-,-,-,eminal_058
206,-,TCB_048,-,-,-,-
207,-,TCB_044/TCB_045,-,-,-,eminal_057
208,-,TCB_031/TCB_032,-,-,-,eminal_056
209,-,TCB_030,-,-,-,eminal_055
210,-,TCB_038/TCB_039,-,-,-,eminal_054
211,-,TCB_025/TCB_026/TCB_027/TCB_028/TCB_029,-,-,-,eminal_053
212,-,TCB_033/TCB_034/TCB_035/TCB_036/TCB_037,-,-,-,eminal_051/eminal_052
213,-,TCB_001/TCB_002/TCB_003/TCB_004/TCB_005/TCB_006/TCB_007/TCB_008/TCB_009/TCB_010/TCB_011/TCB_012/TCB_013/TCB_014/TCB_015/TCB_016/TCB_017/TCB_018,urara_001/urara_002,dsc_001,lieto_003,eminal_041/eminal_042/eminal_043/eminal_045/eminal_046/eminal_047/eminal_048/eminal_049/eminal_050
214,-,TCB_019/TCB_020/TCB_021/TCB_022/TCB_023/TCB_024,-,-,lieto_002,eminal_039/eminal_040
215,-,TCB_062,-,-,-,eminal_038
216,-,TCB_064,-,-,-,eminal_037
217,-,TCB_061,-,-,-,eminal_036
218,-,TCB_065,-,-,-,eminal_035
219,-,TCB_066,-,-,-,-
220,-,TCB_059/TCB_060,-,-,-,eminal_034
221,-,TCB_055,-,-,-,eminal_033
222,-,TCB_056/TCB_057/TCB_058,-,-,-,eminal_031/eminal_032
223,-,TCB_050/TCB_051/TCB_052/TCB_053/TCB_054,-,-,lieto_001,eminal_029/eminal_030
224,-,TCB_063,-,-,-,eminal_028
225,-,TCB_083,-,-,-,eminal_027
226,-,TCB_077/TCB_078,-,-,-,eminal_026
227,-,TCB_067/TCB_068/TCB_069/TCB_070/TCB_071/TCB_072/TCB_073/TCB_074/TCB_075/TCB_076,-,-,-,eminal_023/eminal_024/eminal_025
228,-,TCB_079/TCB_080,-,-,-,eminal_021/eminal_022
229,-,TCB_081,-,-,-,eminal_020
230,-,TCB_082,-,-,-,eminal_019
231,-,-,-,-,-,-
232,-,TCB_088,-,-,-,-
233,-,TCB_084/TCB_085,-,-,-,eminal_018
234,-,TCB_086/TCB_087,-,-,-,eminal_017
235,-,TCB_089,-,-,-,eminal_016
236,-,TCB_093,-,-,-,eminal_015
237,-,TCB_090,-,-,-,eminal_014
238,-,TCB_091,-,-,-,eminal_013
239,-,TCB_092,-,-,-,eminal_012
240,-,TCB_094/TCB_095/TCB_096/TCB_097/TCB_098,-,-,-,eminal_008/eminal_009/eminal_010/eminal_011
241,-,TCB_103,-,-,-,-
242,-,TCB_102,-,-,-,eminal_006/eminal_007
243,-,TCB_100,-,-,-,eminal_004
244,-,TCB_104,-,-,-,eminal_005
245,-,TCB_101,-,-,-,eminal_003
246,-,TCB_099,-,-,-,eminal_002
247,-,TCB_105,-,-,-,eminal_001
248,-,TCB_005,-,-,lieto_003,eminal_044/eminal_045
249,-,TCB_008/TCB_013,-,-,-,eminal_043
250,-,-,-,-,-,-
251,-,TCB_009,-,-,-,eminal_047/eminal_048
252,-,-,-,-,-,-
253,-,TCB_006/TCB_007,urara_001,-,-,eminal_046
254,-,TCB_017,-,-,-,-
255,-,TCB_016,-,-,-,-
256,-,TCB_009/TCB_010,-,dsc_001,-,eminal_047/eminal_048
257,-,TCB_001/TCB_002/TCB_003,urara_002,-,-,eminal_049/eminal_050
258,-,TCB_014,-,-,-,eminal_042
259,-,-,-,-,-,-
260,-,TCB_012,-,-,-,eminal_041
261,-,TCB_002/TCB_004,-,-,lieto_003,eminal_044/eminal_045
262,-,TCB_006/TCB_007,urara_001,-,-,eminal_046
263,-,-,-,-,-,-
264,-,TCB_008/TCB_013,-,-,-,eminal_043
265,-,-,-,dsc_001,-,eminal_047/eminal_048
266,-,-,-,-,-,-
267,-,TCB_006/TCB_007,urara_001,-,-,eminal_046
268,-,-,-,-,-,-
269,-,TCB_008/TCB_013,-,-,-,eminal_043
270,-,-,-,-,-,-
271,-,-,-,-,-,-
272,-,-,-,-,-,-
273,-,-,-,-,-,-
274,-,-,-,-,-,-
275,-,TCB_068/TCB_072,-,-,-,eminal_024
276,-,TCB_075,-,-,-,-
277,-,TCB_068/TCB_069/TCB_072,-,-,-,eminal_023/eminal_024
278,-,TCB_068/TCB_072,-,-,-,eminal_024
279,-,TCB_067/TCB_070/TCB_071,-,-,-,eminal_025
280,-,-,-,-,-,-
281,-,TCB_050,-,-,lieto_001,eminal_030
282,-,TCB_053,-,-,-,-
283,-,TCB_054,-,-,-,eminal_029
284,-,TCB_050/TCB_052,-,-,lieto_001,eminal_030
285,-,TCB_097,-,-,-,eminal_008
286,-,TCB_094/TCB_096/TCB_098,-,-,-,eminal_010/eminal_011
287,-,TCB_094/TCB_096/TCB_098,-,-,-,eminal_010/eminal_011
288,-,TCB_095,-,-,-,eminal_009
289,-,TCB_042,-,-,-,eminal_062
290,-,TCB_040/TCB_041,-,-,-,eminal_063
291,-,-,-,-,-,-
292,-,TCB_079,-,-,-,eminal_022
293,-,TCB_079,-,-,-,eminal_022
294,-,-,-,-,-,-
295,-,TCB_080,-,-,-,eminal_021
296,-,TCB_024,-,-,-,-
297,-,TCB_022,-,-,-,eminal_039
298,-,TCB_023,-,-,-,-
299,-,TCB_010/TCB_018/TCB_022,-,-,-,eminal_048
300,-,TCB_018/TCB_022,-,-,-,-
301,-,TCB_019/TCB_020,-,-,lieto_002,eminal_040
302,-,TCB_023,-,-,-,-
303,-,TCB_035/TCB_037,-,-,-,-
304,-,TCB_036,-,-,-,eminal_051
305,-,TCB_037,-,-,-,-
306,-,TCB_025/TCB_026,-,-,-,eminal_053
307,-,TCB_025/TCB_026,-,-,-,eminal_053
308,-,TCB_027,-,-,-,-
309,-,TCB_017/TCB_027/TCB_029/TCB_037,-,-,-,-
310,-,TCB_038/TCB_039,-,-,-,eminal_054
311,-,TCB_077/TCB_078,-,-,-,eminal_026
312,-,TCB_091,-,-,-,eminal_013
313,-,-,-,-,-,-
314,-,TCB_061,-,-,-,eminal_036
315,-,TCB_032,-,-,-,-
316,-,TCB_031,-,-,-,eminal_056
317,-,TCB_047,-,-,-,eminal_060
318,-,-,-,-,-,-
319,-,TCB_085,-,-,-,-
320,-,TCB_090,-,-,-,eminal_014
321,-,-,-,-,-,-
322,-,TCB_058,-,-,-,-
323,-,TCB_057,-,-,-,eminal_031
324,-,TCB_058,-,-,-,-
325,-,TCB_088,-,-,-,-
326,-,TCB_030,-,-,-,eminal_055
327,-,-,-,-,-,-
328,-,-,-,-,-,eminal_006
329,-,TCB_060,-,-,-,-
330,-,-,-,-,-,-
331,-,-,-,-,-,-
332,-,TCB_045,-,-,-,eminal_057
333,-,TCB_063,-,-,-,eminal_028
334,-,-,-,-,-,-
335,-,TCB_063,-,-,-,eminal_028
336,-,TCB_043,-,-,-,eminal_059
337,-,-,-,-,-,-
338,-,-,-,-,-,-
339,-,-,-,-,-,-
340,-,-,-,-,-,-
341,-,-,-,-,-,-
342,-,-,-,-,-,-
343,-,-,-,-,-,-
344,-,-,-,-,-,-
345,-,-,-,-,-,-
346,-,-,-,-,-,-
347,-,-,-,-,-,-
348,-,-,-,-,-,-
349,-,-,-,-,-,-
350,-,-,-,-,-,-
351,-,-,-,-,-,-
352,-,-,-,-,-,-
353,-,-,-,-,-,-
354,-,-,-,-,-,-
355,-,-,-,-,-,-
356,-,-,-,-,-,-
357,-,-,-,-,-,-
358,-,-,-,-,-,-
359,-,-,-,-,-,-
360,-,-,-,-,-,-
361,-,-,-,-,-,-
362,-,-,-,-,-,-
363,-,-,-,-,-,-
364,-,-,-,-,-,-
365,-,-,-,-,-,-
366,-,-,-,-,-,-
367,-,-,-,-,-,-
368,-,-,-,-,-,-
369,-,-,-,-,-,-
370,-,-,-,-,-,-
371,-,-,-,-,-,-
372,-,-,-,-,-,-
373,-,-,-,-,-,-
374,-,-,-,-,-,-
375,-,-,-,-,-,-
376,-,-,-,-,-,-
377,-,-,-,-,-,-
378,-,-,-,-,-,-
379,-,-,-,-,-,-
380,-,-,-,-,-,-
381,-,-,-,-,-,-
382,-,-,-,-,-,-
383,-,-,-,-,-,-
384,-,-,-,-,-,-
385,-,-,-,-,-,-
386,-,-,-,-,-,-
387,-,-,-,-,-,-
388,-,-,-,-,-,-
389,-,-,-,-,-,-
390,-,-,-,-,-,-
391,-,-,-,-,-,-
392,-,-,-,-,-,-
393,-,-,-,-,-,-
394,-,-,-,-,-,-
395,-,-,-,-,-,-
396,-,-,-,-,-,-
397,-,-,-,-,-,-
398,-,-,-,-,-,-
399,-,-,-,-,-,-